Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,Salinity,Time,QC,QR,QC,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0.20 ,0.74 ,0.3,0.3,0.5,0.45,0,0,0,0.1,,10,0.5,0.3,0,6,0,,,,-15.00 ,0.41 ,0.15 ,0.06 ,0.46 ,0.16 ,0.07 ,0.50 ,0.16 ,0.06 ,0.58 ,0.15 ,0.06 ,0.12 ,0.07 ,0.03 ,0.15 ,0.08 ,0.03 ,0.17 ,0.06 ,0.03 ,0.15 ,0.05 ,0.02 
10,0,-0.37 ,0.56 ,0.4,0.4,0.45,0.6,0.15,0.15,0.1,0.1,,10,0.5,0.4,0.15,8,3,,,,-10.00 ,0.37 ,0.20 ,0.08 ,0.49 ,0.18 ,0.07 ,0.54 ,0.24 ,0.10 ,0.52 ,0.20 ,0.08 ,0.18 ,0.14 ,0.06 ,0.23 ,0.17 ,0.07 ,0.23 ,0.12 ,0.05 ,0.25 ,0.19 ,0.08 
10,0,0.02 ,-0.17 ,0.2,0.2,0.35,0.45,0.15,0.15,0.15,0.15,,10,0.5,0.2,0.15,4,3,,,,-5.00 ,0.33 ,0.12 ,0.05 ,0.42 ,0.17 ,0.07 ,0.44 ,0.17 ,0.07 ,0.50 ,0.10 ,0.04 ,0.15 ,0.08 ,0.03 ,0.15 ,0.04 ,0.02 ,0.15 ,0.11 ,0.04 ,0.17 ,0.12 ,0.05 
15,0,0.23 ,3.05 ,0.3,0.3,0.45,0.45,0.15,0.15,0.15,0.1,,15,0.5,0.3,0.15,6,3,,,,0.00 ,0.16 ,0.07 ,0.03 ,0.20 ,0.06 ,0.02 ,0.25 ,0.14 ,0.06 ,0.32 ,0.10 ,0.04 ,0.15 ,0.06 ,0.03 ,0.20 ,0.06 ,0.02 ,0.28 ,0.06 ,0.03 ,0.23 ,0.04 ,0.02 
15,0,0.25 ,1.49 ,0.1,0.25,0.6,0.6,0.05,0.05,0.1,0.1,,15,0.5,0.1,0.05,2,1,,,,5.00 ,0.36 ,0.18 ,0.07 ,0.42 ,0.14 ,0.06 ,0.41 ,0.14 ,0.06 ,0.46 ,0.18 ,0.07 ,0.13 ,0.07 ,0.03 ,0.06 ,0.05 ,0.02 ,0.09 ,0.05 ,0.02 ,0.09 ,0.05 ,0.02 
15,0,0.20 ,1.41 ,0.1,0.1,0.15,0.4,0.05,0.05,0.05,0.05,,15,0.5,0.1,0.05,2,1,,,,10.00 ,0.30 ,0.08 ,0.03 ,0.33 ,0.08 ,0.03 ,0.48 ,0.06 ,0.03 ,0.51 ,0.06 ,0.02 ,0.08 ,0.07 ,0.03 ,0.09 ,0.05 ,0.02 ,0.08 ,0.07 ,0.03 ,0.12 ,0.03 ,0.02 
15,0,0.23 ,0.13 ,0.5,0.75,0.75,0.8,0.2,0,0,0.05,,15,0.5,0.5,0.2,10,4,,,,15.00 ,0.28 ,0.15 ,0.06 ,0.38 ,0.21 ,0.08 ,0.48 ,0.19 ,0.08 ,0.56 ,0.14 ,0.06 ,0.12 ,0.06 ,0.02 ,0.09 ,0.07 ,0.03 ,0.13 ,0.09 ,0.03 ,0.13 ,0.08 ,0.03 
15,0,0.00 ,-2.79 ,0.3,0.5,0.55,0.45,0.1,0.2,0.25,0.25,,15,0.5,0.3,0.1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,-0.20 ,0.74 ,0.4,0.4,0.4,0.65,0.15,0.1,0.2,0.2,,15,0.5,0.4,0.15,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,1,0.15,0.25,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,1,0.45,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,1,0.6,0.15,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,1,0.5,0.15,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,1,0.65,0.15,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,1,0.4,0.2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,1,0.65,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,1,0.7,0.2,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,1,0.65,0.55,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,1,0.25,0.2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,1,0.3,0.3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,1,0.4,0.15,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,1,0.55,0.1,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,1,0.45,0.2,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,1,0.65,0.2,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,1,0.35,0.1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,1,0.4,0.15,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,1,0.1,0.15,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1,0.2,0.15,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1,0.3,0.3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1,0.2,0.2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1,0.2,0.15,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1,0.2,0.15,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1,0.1,0.25,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1,0.6,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1,0.6,0.15,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1,0.4,0.05,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1,0.3,0.05,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1,0.25,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1,0.35,0.1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,1,0.35,0.05,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,1,0.3,0.1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,1,0.45,0.1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,1,0.3,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,1,0.4,0.15,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,1,0.2,0.15,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,1,0.3,0.15,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,1,0.25,0.05,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,1,0.1,0.05,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,1,0.75,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
