Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,water,Time,QC,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4,1.5,0.3,0.25,6,5,,,,0.4,0.18 ,0.10 ,0.04 ,0.24 ,0.07 ,0.03 ,0.30 ,0.08 ,0.03 ,0.32 ,0.12 ,0.05 ,0.08 ,0.07 ,0.03 ,0.15 ,0.10 ,0.04 ,0.17 ,0.05 ,0.02 ,0.21 ,0.06 ,0.02 
,,,,,,,,,,,,,-0.4,1.5,0.55,0.35,11,7,,,,0.8,0.25 ,0.12 ,0.05 ,0.25 ,0.14 ,0.06 ,0.26 ,0.12 ,0.05 ,0.24 ,0.07 ,0.03 ,0.16 ,0.08 ,0.03 ,0.26 ,0.07 ,0.03 ,0.41 ,0.09 ,0.04 ,0.39 ,0.08 ,0.03 
,,,,,,,,,,,,,-0.4,1.5,0.5,0.05,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4,1.5,0.45,0.05,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4,1.5,0.5,0.05,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4,1.5,0.4,0.2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4,2,0.5,0.1,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4,2,0.4,0.35,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4,2,0.65,0.05,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4,2,0.5,0.05,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4,2,0.6,0.1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.4,2,0.4,0.2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0.5,0.15,0.2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0.5,0.3,0.15,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0.5,0.15,0.15,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0.5,0.15,0.1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0.5,0.15,0.05,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0.5,0.05,0.25,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1,0.2,0.15,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1,0.3,0.3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1,0.2,0.2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1,0.2,0.15,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1,0.2,0.15,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1,0.1,0.25,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1.5,0.25,0.2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1.5,0.35,0.4,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1.5,0.15,0.3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1.5,0.1,0.25,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1.5,0.5,0.25,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1.5,0.15,0.3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2,0.3,0.2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2,0.35,0.2,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2,0.4,0.3,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2,0.25,0.25,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2,0.45,0.2,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2,0.15,0.2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,0.5,0.1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,0.5,0.15,0.2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,0.5,0.4,0.05,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,0.5,0.15,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,0.5,0.15,0.1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,0.5,0.1,0.15,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,1,0.2,0.15,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,1,0.35,0.25,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,1,0.3,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,1,0.2,0.1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,1,0.25,0.1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,1,0.15,0.3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,1.5,0.3,0.15,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,1.5,0.4,0.15,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,1.5,0.3,0.1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,1.5,0.3,0.25,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,1.5,0.35,0.15,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,1.5,0.15,0.2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,2,0.5,0.1,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,2,0.4,0.2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,2,0.25,0.2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,2,0.35,0.3,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,2,0.3,0.2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.4,2,0.1,0.25,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,0.5,0.25,0.05,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,0.5,0.4,0.25,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,0.5,0.4,0.15,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,0.5,0.1,0.2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,0.5,0.15,0.05,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,0.5,0.2,0.25,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,1,0.3,0.25,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,1,0.5,0.35,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8,1,0.3,0.15,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
