Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h
0,0,0.27 ,0.62 ,0.15,0.2,0.25,0.3,0.2,0.15,0.2,0.2
0,-0.4,0.70 ,-1.85 ,0.25,0.35,0.3,0.5,0.15,0.3,0.25,0.1
0,-0.8,0.80 ,-3.06 ,0.15,0.3,0.4,0.25,0.05,0.15,0.1,0.15
0,0.8,-0.90 ,2.81 ,0.4,0.5,0.5,0.3,0.25,0.35,0.55,0.35
0,0.4,-0.20 ,2.53 ,0.15,0.35,0.4,0.4,0.2,0.25,0.15,0.2
0,0,-0.17 ,1.08 ,0.3,0.3,0.35,0.35,0.15,0.3,0.4,0.2
0,-0.4,1.00 ,-1.34 ,0.3,0.3,0.55,0.4,0.1,0.15,0.35,0.35
0,-0.8,1.63 ,-4.86 ,0.15,0.4,0.5,0.55,0.25,0.1,0.3,0.4
0,0.8,-0.20 ,2.23 ,0.4,0.3,0.25,0.2,0.15,0.15,0.45,0.55
0,0.4,-0.40 ,2.61 ,0.4,0.3,0.3,0.25,0.05,0,0.1,0.2
0,0,-0.50 ,2.48 ,0.15,0.2,0.15,0.4,0.15,0.2,0.3,0.3
0,-0.4,0.87 ,3.83 ,0.45,0.25,0.5,0.65,0.1,0.05,0.05,0.05
0,-0.8,1.17 ,-3.73 ,0.4,0.5,0.55,0.7,0.15,0.1,0.2,0.15
0,0.8,-0.77 ,2.00 ,0.1,0.2,0.2,0.35,0.2,0.25,0.45,0.35
0,0.4,-0.07 ,3.68 ,0.15,0.2,0.3,0.35,0,0.1,0.25,0.3
0,0,-0.37 ,3.31 ,0.15,0.2,0.1,0.25,0.1,0.15,0.25,0.25
0,-0.4,0.43 ,-3.35 ,0.25,0.45,0.45,0.5,0,0.1,0.05,0.05
0,-0.8,0.73 ,-2.70 ,0.15,0.45,0.5,0.55,0.2,0.05,0,0.1
0,0.8,-0.75 ,4.51 ,0.15,0.1,0.1,0.25,0.05,0.2,0.35,0.4
0,0.4,-0.03 ,-2.33 ,0.15,0.25,0.35,0.3,0.1,0.1,0.15,0.2
0,0,0.03 ,5.47 ,0.15,0.2,0.5,0.45,0.05,0.15,0.25,0.2
0,-0.4,0.00 ,10.31 ,0.1,0.35,0.5,0.6,0.2,0.1,0.05,0.1
0,-0.8,0.97 ,-0.76 ,0.2,0.35,0.35,0.55,0.05,0.15,0.1,0.1
0,0.8,-1.07 ,3.53 ,0.2,0.1,0.2,0.15,0.25,0.35,0.4,0.4
0,0.4,0.00 ,3.44 ,0.1,0.15,0.15,0.1,0.15,0.3,0.2,0.25
0,0,0.13 ,-2.47 ,0.05,0.1,0.15,0.15,0.25,0.25,0.3,0.2
0,-0.4,0.17 ,-3.35 ,0.15,0.35,0.4,0.4,0.35,0.2,0.2,0.2
0,-0.8,0.50 ,-3.41 ,0.4,0.35,0.5,0.5,0.15,0.15,0.15,0.15
5,0,0.57 ,1.08 ,0.7,0.6,0.6,0.7,0.05,0,0.1,0.05
5,0,0.23 ,2.31 ,0.45,0.6,0.55,0.65,0.15,0.15,0.2,0.05
5,0,0.57 ,-14.40 ,0.3,0.4,0.4,0.4,0.15,0.05,0.05,0.05
5,0,-0.10 ,0.91 ,0.25,0.3,0.2,0.25,0.05,0.05,0.05,0.1
5,0,0.10 ,-1.41 ,0.15,0.25,0.3,0.25,0.25,0,0.05,0.1
5,0,0.80 ,0.17 ,0.3,0.35,0.4,0.5,0.1,0.1,0.1,0.2
5,-0.8,2.43 ,-6.37 ,0.55,0.7,0.65,0.75,0.45,0.15,0.3,0.3
5,-0.8,2.70 ,-5.12 ,0.25,0.5,0.45,0.5,0.3,0.3,0.2,0.25
5,-0.8,1.67 ,-3.78 ,0.4,0.5,0.65,0.65,0.05,0.15,0.2,0.4
5,-0.8,2.67 ,-102.37 ,0.9,0.65,0.75,0.75,0.05,0.85,0.05,0.2
5,-0.8,0.87 ,-8.97 ,0.2,0.65,0.6,0.5,0.3,0.3,0.4,0.45
5,-0.8,2.07 ,-6.41 ,0.6,0.7,0.55,0.4,0.05,0.25,0.2,0.3
5,0.4,0.00 ,0.96 ,0.4,0.55,0.5,0.55,0.15,0.15,0.2,0.15
5,0.4,-0.33 ,0.33 ,0.3,0.3,0.2,0.15,0.2,0.35,0.4,0.35
5,0.4,-0.17 ,0.09 ,0.3,0.2,0.2,0.2,0.35,0.3,0.3,0.5
5,0.4,0.00 ,3.39 ,0.15,0.2,0.2,0.35,0.2,0.3,0.35,0.3
5,0.4,-0.37 ,4.44 ,0.2,0.25,0.25,0.3,0.2,0.25,0.2,0.2
5,0.4,-0.70 ,1.18 ,0.15,0.2,0.35,0.4,0.25,0.2,0.25,0.25
5,0.8,-0.77 ,-0.97 ,0.05,0.05,0.05,0.1,0.15,0.3,0.4,0.35
5,0.8,-0.57 ,2.32 ,0.1,0.1,0.15,0.1,0.05,0.05,0.2,0.2
5,0.8,-0.67 ,1.46 ,0.05,0.15,0.1,0.1,0.25,0.25,0.25,0.35
5,0.8,-0.67 ,-4.21 ,0.05,0.05,0.05,0.05,0.15,0.2,0.25,0.2
5,0.8,-0.70 ,3.72 ,0.1,0.1,0.05,0.05,0.2,0.25,0.3,0.3
5,0.8,-0.63 ,1.22 ,0.05,0.1,0.15,0.25,0.25,0.3,0.45,0.35
5,-0.4,0.07 ,-2.28 ,0.4,0.45,0.35,0.5,0.05,0.15,0.1,0.15
5,-0.4,-0.03 ,-0.55 ,0.2,0.3,0.45,0.45,0.1,0.05,0.15,0.1
5,-0.4,0.43 ,-0.43 ,0.1,0.15,0.15,0.1,0.15,0.05,0.1,0.15
5,-0.4,0.40 ,-1.71 ,0.15,0.5,0.5,0.65,0.1,0.1,0.05,0.05
5,-0.4,0.23 ,-0.97 ,0.5,0.6,0.5,0.6,0.1,0.15,0.05,0.1
5,-0.4,1.27 ,-3.31 ,0.3,0.4,0.5,0.5,0.05,0.05,0.05,0.05
10,0,0.53 ,1.72 ,0.3,0.35,0.55,0.5,0.1,0.05,0.1,0.15
10,0,0.23 ,4.21 ,0.2,0.3,0.55,0.55,0,0.1,0,0.05
10,0,0.10 ,2.79 ,0.4,0.45,0.5,0.5,0.05,0.1,0.15,0.15
10,0,0.20 ,0.74 ,0.3,0.3,0.5,0.45,0,0,0,0.1
10,0,-0.37 ,0.56 ,0.4,0.4,0.45,0.6,0.15,0.15,0.1,0.1
10,0,0.02 ,-0.17 ,0.2,0.2,0.35,0.45,0.15,0.15,0.15,0.15
10,-0.8,2.93 ,-6.79 ,0.65,0.65,0.75,0.75,0.15,0.15,0.2,0.15
10,-0.8,1.70 ,-5.89 ,0.55,0.65,0.5,0.55,0.2,0.15,0.15,0.1
